Time (Years),Nominal Cash Flow,Real Cash Flow,Real Net Cash,Discount Rate
0.0,-900.0,-900.0,-900.0,0.02
0.5,25.0,24.685060929230303,-875.3149390707697,0.02551657228415162
1.0,25.0,24.38324472529615,-850.9316943454735,0.024756032868835917
1.5,25.0,24.169574212803376,-826.7621201326701,0.01768094966104818
2.0,25.0,23.948684180083564,-802.8134359525866,0.018446945231630714
2.5,25.0,23.63715895433021,-779.1762769982564,0.026358939867118427
3.0,25.0,23.371900652477144,-755.8043763457792,0.02269890718750355
3.5,25.0,23.220628612991224,-732.583747732788,0.013029108040709088
4.0,25.0,23.126711395224714,-709.4570363375633,0.008121969108491667
4.5,25.0,23.072001642288033,-686.3850346952753,0.0047425233219818485
5.0,1025.0,940.0483524092225,253.6633177139472,0.012560449490616948
